StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
243;60201865;Weinheimergasse;Wien;49000001;16.3111328;48.2136831
244;60201080;Redtenbachergasse;Wien;49000001;16.3144207;48.2133299
245;60200669;Familienplatz;Wien;49000001;16.3185799;48.2134257
246;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3251016;48.2131923
247;60200456;Haberlgasse;Wien;49000001;16.3305544;48.2117915
248;60200173;Brunnengasse;Wien;49000001;16.3357287;48.2110851
249;60200615;Josefstädter Straße U;Wien;49000001;16.3392591;48.2111689
250;60200019;Albertgasse;Wien;49000001;16.343571;48.2106182
251;60201559;Josefstädter Str. / Lederergasse;Wien;49000001;16.348359;48.2096664
252;60201072;Rathaus U;Wien;49000001;16.3547909;48.2091755
253;60200743;Landstraße S U;Wien;49000001;16.3842647;48.2060983
254;60201450;Hintzerstraße;Wien;49000001;16.3930861;48.2004524
256;60200075;Apostelgasse;Wien;49000001;16.3982335;48.2003686
257;60200653;Kardinal-Nagl-Platz U;Wien;49000001;16.4019255;48.1970574
258;60200765;Lechnerstraße;Wien;49000001;16.4048361;48.1965903
259;60200743;Landstraße S U;Wien;49000001;16.3843365;48.2062121
262;60200765;Lechnerstraße;Wien;49000001;16.4048451;48.1966861
263;60200653;Kardinal-Nagl-Platz U;Wien;49000001;16.4019255;48.1970574
264;60201061;Rabengasse;Wien;49000001;16.3977843;48.1943208
265;60201694;Klimschgasse;Wien;49000001;16.395835;48.192692
266;60200110;Barichgasse;Wien;49000001;16.3948199;48.1983508
267;60201450;Hintzerstraße;Wien;49000001;16.3929963;48.2004105
268;60200245;Stubentor U;Wien;49000001;16.3806534;48.2070682
269;60201072;Rathaus U;Wien;49000001;16.3555725;48.2093072
270;60201559;Josefstädter Str. / Lederergasse;Wien;49000001;16.3491316;48.2096305
271;60200019;Albertgasse;Wien;49000001;16.3443346;48.2105763
272;60200148;Blindengasse;Wien;49000001;16.3407952;48.2110073
273;60200615;Josefstädter Straße U;Wien;49000001;16.3390255;48.2110492
274;60200173;Brunnengasse;Wien;49000001;16.3363934;48.2111031
275;60200456;Neulerchenfelder Str. / Haberlgasse;Wien;49000001;16.3316054;48.2116957
276;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3269252;48.2134137
277;60200669;Familienplatz;Wien;49000001;16.3194422;48.2135634
278;60201080;Redtenbachergasse;Wien;49000001;16.3150135;48.213324
279;60200601;Johannes-Krawarik-Gasse;Wien;49000001;16.3086714;48.2138627
280;60200688;Kleistgasse;Wien;49000001;16.3909931;48.1935124
281;60200110;Barichgasse;Wien;49000001;16.3949277;48.1981172
282;60200292;Eslarngasse;Wien;49000001;16.3959248;48.1964346
283;60201061;Rabengasse;Wien;49000001;16.3977753;48.1938059
284;60201425;St. Marx S;Wien;49000001;16.3993923;48.1886377
286;60200763;St. Marx S, Leberstraße;Wien;49000001;16.3996438;48.1878472
